danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.5570,0.5730,5.0000,-6.0050,1.0000,0.2860,0.6230,0.0043,0.1040,0.3280,160.2150,205500.0000,0
0.6380,0.8110,6.0000,-5.0810,0.0000,0.0531,0.0017,0.0020,0.5640,0.0820,138.0320,214622.0000,0
0.8830,0.6680,9.0000,-2.9570,1.0000,0.1130,0.1100,0.0005,0.0734,0.6760,87.9720,226533.0000,0
0.6090,0.7980,5.0000,-4.4480,0.0000,0.0404,0.0180,0.0000,0.4340,0.4010,130.0340,209760.0000,0
0.6970,0.3650,1.0000,-14.1540,1.0000,0.1300,0.2980,0.3920,0.2580,0.1210,140.0210,194305.0000,0
0.5370,0.8590,6.0000,-5.3360,1.0000,0.0333,0.0003,0.0044,0.0960,0.3690,135.9710,273600.0000,0
0.7700,0.7340,1.0000,-8.0290,1.0000,0.1350,0.6020,0.0311,0.1430,0.6860,93.0800,492293.0000,0
0.6290,0.8970,2.0000,-3.4010,1.0000,0.0483,0.0424,0.0000,0.2630,0.9300,161.9440,168253.0000,0
0.5740,0.7880,10.0000,-6.7780,1.0000,0.0638,0.0156,0.0000,0.3700,0.3400,83.9400,205803.0000,0
0.4220,0.1710,1.0000,-13.8640,0.0000,0.0352,0.1690,0.0000,0.1270,0.3630,187.0020,179413.0000,0
0.7680,0.8100,9.0000,-7.1040,1.0000,0.0521,0.1700,0.0036,0.0966,0.5630,122.9970,195043.0000,0
0.7440,0.8130,9.0000,-7.4010,1.0000,0.1540,0.0005,0.0000,0.0685,0.1490,108.0560,182934.0000,0
0.4570,0.9310,2.0000,-2.4660,0.0000,0.0780,0.0521,0.0514,0.0548,0.4310,126.1210,215438.0000,0
0.7310,0.8670,11.0000,-5.8810,1.0000,0.0320,0.0395,0.0000,0.0861,0.7760,104.0190,200373.0000,0
0.7440,0.5730,7.0000,-8.0680,0.0000,0.4330,0.3610,0.0000,0.1450,0.3980,84.9670,275294.0000,0
0.9790,0.9230,3.0000,-4.1010,1.0000,0.0759,0.0364,0.1570,0.0735,0.2530,128.0290,240019.0000,0
0.7660,0.6140,2.0000,-8.3770,1.0000,0.1120,0.6620,0.0000,0.2650,0.6090,165.9510,211107.0000,0
